name,id,guid,type,icon,deathTime,abilityName,abilityGuid,abilityType,encounterId,encounterName,encounterDifficulty,encounterKill,encounterDate
Pazuzell,73,140773839,DemonHunter,DemonHunter-Vengeance,416667,Blasting Scream,404754,64,2685,2685,5,False,28/09/23
Cebulaczyna,156,121577266,Hunter,Hunter-Marksmanship,416774,Blasting Scream,404754,64,2685,2685,5,False,28/09/23
Grubi,75,180755381,Rogue,Rogue-Subtlety,421767,Melee,1,1,2685,2685,5,False,28/09/23
Meeow,72,143983765,Druid,Druid-Feral,423654,Void Slash,408425,1,2685,2685,5,False,28/09/23
Kryxoria,79,182687721,Priest,Priest-Holy,423975,Destabilize,413070,1,2685,2685,5,False,28/09/23
Qquo,70,165177271,Priest,Priest-Shadow,74275,Scorching Detonation,401525,4,2685,2685,5,False,28/09/23
Owsianko,107,180528313,DeathKnight,DeathKnight-Unholy,178704,Lost In Space,404008,32,2685,2685,5,False,28/09/23
Pepko,91,178016999,Paladin,Paladin-Retribution,290381,Destabilize,413070,1,2685,2685,5,False,28/09/23
Pazuzell,73,140773839,DemonHunter,DemonHunter-Vengeance,312435,Embrace of Nothingness,405340,32,2685,2685,5,False,28/09/23
Prohus,78,181500240,Evoker,Evoker-Augmentation,313360,Cosmic Ascension,403771,32,2685,2685,5,False,28/09/23
Kryxoria,79,182687721,Priest,Priest-Holy,314546,Cosmic Ascension,403771,32,2685,2685,5,False,28/09/23
Lefox,87,175528845,Shaman,Shaman-Restoration,323370,,,,2685,2685,5,False,28/09/23
Nugera,74,181593749,Evoker,Evoker-Augmentation,323791,,,,2685,2685,5,False,28/09/23
Klejnotnilu,5,182929355,DeathKnight,DeathKnight-Blood,324482,,,,2685,2685,5,False,28/09/23
Bärman,77,181432362,Warrior,Warrior-Fury,324896,,,,2685,2685,5,False,28/09/23
Meeow,72,143983765,Druid,Druid-Feral,325686,,,,2685,2685,5,False,28/09/23
Catherinee,103,180636202,Monk,Monk-Windwalker,326646,,,,2685,2685,5,False,28/09/23
Killeen,69,181540927,Evoker,Evoker-Devastation,326942,,,,2685,2685,5,False,28/09/23
Qquo,70,165177271,Priest,Priest-Shadow,329372,,,,2685,2685,5,False,28/09/23
Màmbà,76,183169964,Paladin,Paladin-Holy,329992,,,,2685,2685,5,False,28/09/23
Grubi,75,180755381,Rogue,Rogue-Subtlety,330173,Oblivion,401952,32,2685,2685,5,False,28/09/23
Peanutmage,114,180616658,Mage,Mage-Fire,330433,,,,2685,2685,5,False,28/09/23
Arathil,81,150634218,Warlock,Warlock-Affliction,330549,Melee,1,1,2685,2685,5,False,28/09/23
Shlauffu,88,182304349,Priest,Priest-Shadow,333341,Melee,1,1,2685,2685,5,False,28/09/23
Gunqer,86,118902570,Druid,Druid-Restoration,335450,Melee,1,1,2685,2685,5,False,28/09/23
Owsianko,107,180528313,DeathKnight,DeathKnight-Unholy,239913,Destabilize,413070,1,2685,2685,5,False,28/09/23
Cebulaczyna,156,121577266,Hunter,Hunter-Marksmanship,256402,,,,2685,2685,5,False,28/09/23
Klejnotnilu,5,182929355,DeathKnight,DeathKnight-Blood,288974,Motes of Oblivion,406428,32,2685,2685,5,False,28/09/23
Cebulaczyna,156,121577266,Hunter,Hunter-Marksmanship,313322,Cosmic Ascension,403771,32,2685,2685,5,False,28/09/23
Catherinee,103,180636202,Monk,Monk-Windwalker,316742,,,,2685,2685,5,False,28/09/23
Pazuzell,73,140773839,DemonHunter,DemonHunter-Vengeance,316938,,,,2685,2685,5,False,28/09/23
Meeow,72,143983765,Druid,Druid-Feral,316955,,,,2685,2685,5,False,28/09/23
Arathil,81,150634218,Warlock,Warlock-Affliction,316955,,,,2685,2685,5,False,28/09/23
Peanutmage,114,180616658,Mage,Mage-Fire,316958,,,,2685,2685,5,False,28/09/23
Grubi,75,180755381,Rogue,Rogue-Subtlety,316958,,,,2685,2685,5,False,28/09/23
Bärman,77,181432362,Warrior,Warrior-Fury,316958,,,,2685,2685,5,False,28/09/23
Killeen,69,181540927,Evoker,Evoker-Devastation,316958,,,,2685,2685,5,False,28/09/23
Nugera,74,181593749,Evoker,Evoker-Augmentation,316958,,,,2685,2685,5,False,28/09/23
Shlauffu,88,182304349,Priest,Priest-Shadow,316958,,,,2685,2685,5,False,28/09/23
Kryxoria,79,182687721,Priest,Priest-Holy,316958,,,,2685,2685,5,False,28/09/23
Klejnotnilu,5,182929355,DeathKnight,DeathKnight-Blood,316958,,,,2685,2685,5,False,28/09/23
Màmbà,76,183169964,Paladin,Paladin-Holy,316958,,,,2685,2685,5,False,28/09/23
Gunqer,86,118902570,Druid,Druid-Restoration,316998,,,,2685,2685,5,False,28/09/23
Qquo,70,165177271,Priest,Priest-Shadow,316998,Dread,404300,32,2685,2685,5,False,28/09/23
Prohus,78,181500240,Evoker,Evoker-Augmentation,320524,,,,2685,2685,5,False,28/09/23
Lefox,87,175528845,Shaman,Shaman-Restoration,320672,,,,2685,2685,5,False,28/09/23
Pepko,91,178016999,Paladin,Paladin-Retribution,321688,Melee,1,1,2685,2685,5,False,28/09/23
Gunqer,86,118902570,Druid,Druid-Restoration,217586,,,,2685,2685,5,False,28/09/23
Pepko,91,178016999,Paladin,Paladin-Retribution,238159,Destabilize,413070,1,2685,2685,5,False,28/09/23
Grubi,75,180755381,Rogue,Rogue-Subtlety,246176,,,,2685,2685,5,False,28/09/23
Pazuzell,73,140773839,DemonHunter,DemonHunter-Vengeance,256108,Lost In Space,404008,32,2685,2685,5,False,28/09/23
Catherinee,103,180636202,Monk,Monk-Windwalker,259058,,,,2685,2685,5,False,28/09/23
Prohus,78,181500240,Evoker,Evoker-Augmentation,267378,,,,2685,2685,5,False,28/09/23
Kryxoria,79,182687721,Priest,Priest-Holy,271866,,,,2685,2685,5,False,28/09/23
Nugera,74,181593749,Evoker,Evoker-Augmentation,272284,,,,2685,2685,5,False,28/09/23
Killeen,69,181540927,Evoker,Evoker-Devastation,272367,,,,2685,2685,5,False,28/09/23
Klejnotnilu,5,182929355,DeathKnight,DeathKnight-Blood,273174,,,,2685,2685,5,False,28/09/23
Meeow,72,143983765,Druid,Druid-Feral,273926,,,,2685,2685,5,False,28/09/23
Bärman,77,181432362,Warrior,Warrior-Fury,274311,,,,2685,2685,5,False,28/09/23
Peanutmage,114,180616658,Mage,Mage-Fire,275124,Void Bomb,404062,32,2685,2685,5,False,28/09/23
Qquo,70,165177271,Priest,Priest-Shadow,276300,,,,2685,2685,5,False,28/09/23
Arathil,81,150634218,Warlock,Warlock-Affliction,276732,Melee,1,1,2685,2685,5,False,28/09/23
Owsianko,107,180528313,DeathKnight,DeathKnight-Unholy,277524,Oblivion,401952,32,2685,2685,5,False,28/09/23
Shlauffu,88,182304349,Priest,Priest-Shadow,278534,Melee,1,1,2685,2685,5,False,28/09/23
Lefox,87,175528845,Shaman,Shaman-Restoration,284613,Oblivion,401952,32,2685,2685,5,False,28/09/23
Gunqer,86,118902570,Druid,Druid-Restoration,285702,,,,2685,2685,5,False,28/09/23
Màmbà,76,183169964,Paladin,Paladin-Holy,286076,,,,2685,2685,5,False,28/09/23
Qquo,70,165177271,Priest,Priest-Shadow,52757,Scorching Detonation,401525,4,2685,2685,5,False,28/09/23
Arathil,81,150634218,Warlock,Warlock-Affliction,70546,Echoing Howl,410247,32,2685,2685,5,False,28/09/23
Peanutmage,114,180616658,Mage,Mage-Fire,75851,Disintegrated,401801,64,2685,2685,5,False,28/09/23
Kryxoria,79,182687721,Priest,Priest-Holy,76937,,,,2685,2685,5,False,28/09/23
Owsianko,107,180528313,DeathKnight,DeathKnight-Unholy,77079,Scorching Detonation,401525,4,2685,2685,5,False,28/09/23
Meeow,72,143983765,Druid,Druid-Feral,78031,,,,2685,2685,5,False,28/09/23
Prohus,78,181500240,Evoker,Evoker-Augmentation,78564,,,,2685,2685,5,False,28/09/23
Pazuzell,73,140773839,DemonHunter,DemonHunter-Vengeance,78671,,,,2685,2685,5,False,28/09/23
Nugera,74,181593749,Evoker,Evoker-Augmentation,79086,,,,2685,2685,5,False,28/09/23
Bärman,77,181432362,Warrior,Warrior-Fury,79299,,,,2685,2685,5,False,28/09/23
Lefox,87,175528845,Shaman,Shaman-Restoration,79843,,,,2685,2685,5,False,28/09/23
Killeen,69,181540927,Evoker,Evoker-Devastation,80067,,,,2685,2685,5,False,28/09/23
Qquo,70,165177271,Priest,Priest-Shadow,80655,,,,2685,2685,5,False,28/09/23
Catherinee,103,180636202,Monk,Monk-Windwalker,80971,,,,2685,2685,5,False,28/09/23
Klejnotnilu,5,182929355,DeathKnight,DeathKnight-Blood,81086,,,,2685,2685,5,False,28/09/23
Màmbà,76,183169964,Paladin,Paladin-Holy,82082,,,,2685,2685,5,False,28/09/23
Pepko,91,178016999,Paladin,Paladin-Retribution,83351,,,,2685,2685,5,False,28/09/23
Gunqer,86,118902570,Druid,Druid-Restoration,83890,,,,2685,2685,5,False,28/09/23
Grubi,75,180755381,Rogue,Rogue-Assassination,85048,,,,2685,2685,5,False,28/09/23
Shlauffu,88,182304349,Priest,Priest-Shadow,85652,Melee,1,1,2685,2685,5,False,28/09/23
Pazuzell,73,140773839,DemonHunter,DemonHunter-Vengeance,227611,Melee,1,1,2685,2685,5,False,28/09/23
Arathil,81,150634218,Warlock,Warlock-Affliction,274235,Embrace of Nothingness,405340,32,2685,2685,5,False,28/09/23
Klejnotnilu,5,182929355,DeathKnight,DeathKnight-Blood,287704,Void Slash,408431,32,2685,2685,5,False,28/09/23
Cebulaczyna,156,121577266,Hunter,Hunter-Marksmanship,318485,Embrace of Nothingness,403524,32,2685,2685,5,False,28/09/23
Meeow,72,143983765,Druid,Druid-Feral,335433,Oblivion,401952,32,2685,2685,5,False,28/09/23
Owsianko,107,180528313,DeathKnight,DeathKnight-Unholy,335893,,,,2685,2685,5,False,28/09/23
Killeen,69,181540927,Evoker,Evoker-Devastation,338410,Void Bomb,404062,32,2685,2685,5,False,28/09/23
Pazuzell,73,140773839,DemonHunter,DemonHunter-Vengeance,338501,Melee,1,1,2685,2685,5,False,28/09/23
Nugera,74,181593749,Evoker,Evoker-Augmentation,338923,Oblivion,401952,32,2685,2685,5,False,28/09/23
Grubi,75,180755381,Rogue,Rogue-Assassination,340673,Destabilize,413070,1,2685,2685,5,False,28/09/23
Qquo,70,165177271,Priest,Priest-Shadow,341911,Embrace of Nothingness,403524,32,2685,2685,5,False,28/09/23
Bärman,77,181432362,Warrior,Warrior-Fury,344067,Melee,1,1,2685,2685,5,False,28/09/23
Lefox,87,175528845,Shaman,Shaman-Restoration,345424,Void Bomb,404062,32,2685,2685,5,False,28/09/23
Arathil,81,150634218,Warlock,Warlock-Affliction,346427,Void Bomb,404062,32,2685,2685,5,False,28/09/23
Shlauffu,88,182304349,Priest,Priest-Shadow,346571,Melee,1,1,2685,2685,5,False,28/09/23
Prohus,78,181500240,Evoker,Evoker-Augmentation,346945,Oblivion,401952,32,2685,2685,5,False,28/09/23
Peanutmage,114,180616658,Mage,Mage-Fire,347417,Oblivion,401952,32,2685,2685,5,False,28/09/23
Màmbà,76,183169964,Paladin,Paladin-Holy,348644,Void Surge,404154,32,2685,2685,5,False,28/09/23
Pepko,91,178016999,Paladin,Paladin-Retribution,349626,Void Surge,404154,32,2685,2685,5,False,28/09/23
Gunqer,86,118902570,Druid,Druid-Restoration,350204,Melee,1,1,2685,2685,5,False,28/09/23
Cebulaczyna,156,121577266,Hunter,Hunter-Marksmanship,131115,Lost In Space,404008,32,2685,2685,5,False,28/09/23
Nugera,74,181593749,Evoker,Evoker-Augmentation,140467,,,,2685,2685,5,False,28/09/23
Nugera,74,181593749,Evoker,Evoker-Augmentation,164963,,,,2685,2685,5,False,28/09/23
Meeow,72,143983765,Druid,Druid-Feral,169599,Void Surge,404154,32,2685,2685,5,False,28/09/23
Bärman,77,181432362,Warrior,Warrior-Fury,169599,Void Surge,404154,32,2685,2685,5,False,28/09/23
Pepko,91,178016999,Paladin,Paladin-Retribution,169636,Void Surge,404154,32,2685,2685,5,False,28/09/23
Shlauffu,88,182304349,Priest,Priest-Shadow,169725,Void Surge,404154,32,2685,2685,5,False,28/09/23
Qquo,70,165177271,Priest,Priest-Shadow,169757,Void Surge,404154,32,2685,2685,5,False,28/09/23
Prohus,78,181500240,Evoker,Evoker-Augmentation,169887,Oblivion,401952,32,2685,2685,5,False,28/09/23
Killeen,69,181540927,Evoker,Evoker-Devastation,169887,Oblivion,401952,32,2685,2685,5,False,28/09/23
Màmbà,76,183169964,Paladin,Paladin-Holy,170657,Void Surge,404154,32,2685,2685,5,False,28/09/23
Owsianko,107,180528313,DeathKnight,DeathKnight-Unholy,170692,Void Surge,404154,32,2685,2685,5,False,28/09/23
Peanutmage,114,180616658,Mage,Mage-Fire,170891,Oblivion,401952,32,2685,2685,5,False,28/09/23
Kryxoria,79,182687721,Priest,Priest-Holy,171546,,,,2685,2685,5,False,28/09/23
Arathil,81,150634218,Warlock,Warlock-Affliction,172893,Oblivion,401952,32,2685,2685,5,False,28/09/23
Grubi,75,180755381,Rogue,Rogue-Assassination,172893,Oblivion,401952,32,2685,2685,5,False,28/09/23
Klejnotnilu,5,182929355,DeathKnight,DeathKnight-Blood,173883,Oblivion,401952,32,2685,2685,5,False,28/09/23
Pazuzell,73,140773839,DemonHunter,DemonHunter-Vengeance,175241,,,,2685,2685,5,False,28/09/23
Gunqer,86,118902570,Druid,Druid-Restoration,180420,Melee,1,1,2685,2685,5,False,28/09/23
Catherinee,103,180636202,Monk,Monk-Windwalker,180486,,,,2685,2685,5,False,28/09/23
Lefox,87,175528845,Shaman,Shaman-Restoration,183508,Void Claws,411242,1,2685,2685,5,False,28/09/23
Nugera,74,181593749,Evoker,Evoker-Augmentation,230287,,,,2685,2685,5,False,28/09/23
Killeen,69,181540927,Evoker,Evoker-Devastation,242134,,,,2685,2685,5,False,28/09/23
Màmbà,76,183169964,Paladin,Paladin-Holy,255487,Cosmic Ascension,403771,32,2685,2685,5,False,28/09/23
Meeow,72,143983765,Druid,Druid-Feral,308549,Dread,404300,32,2685,2685,5,False,28/09/23
Shlauffu,88,182304349,Priest,Priest-Shadow,309664,Oblivion,401952,32,2685,2685,5,False,28/09/23
Cebulaczyna,156,121577266,Hunter,Hunter-Marksmanship,312209,Embrace of Nothingness,405340,32,2685,2685,5,False,28/09/23
Pazuzell,73,140773839,DemonHunter,DemonHunter-Vengeance,317550,Void Slash,408425,1,2685,2685,5,False,28/09/23
Kryxoria,79,182687721,Priest,Priest-Holy,324799,Oblivion,401952,32,2685,2685,5,False,28/09/23
Peanutmage,114,180616658,Mage,Mage-Fire,335169,Void Bomb,404062,32,2685,2685,5,False,28/09/23
Gunqer,86,118902570,Druid,Druid-Restoration,338148,Void Bomb,404062,32,2685,2685,5,False,28/09/23
Qquo,70,165177271,Priest,Priest-Shadow,339182,Void Bomb,404062,32,2685,2685,5,False,28/09/23
Catherinee,103,180636202,Monk,Monk-Windwalker,348535,Blasting Scream,404754,64,2685,2685,5,False,28/09/23
Grubi,75,180755381,Rogue,Rogue-Assassination,349034,Oblivion,401952,32,2685,2685,5,False,28/09/23
Prohus,78,181500240,Evoker,Evoker-Augmentation,349669,Oblivion,401952,32,2685,2685,5,False,28/09/23
Bärman,77,181432362,Warrior,Warrior-Fury,350059,Oblivion,401952,32,2685,2685,5,False,28/09/23
Owsianko,107,180528313,DeathKnight,DeathKnight-Unholy,350327,Astral Formation,403497,32,2685,2685,5,False,28/09/23
Pepko,91,178016999,Paladin,Paladin-Retribution,353275,Void Surge,404154,32,2685,2685,5,False,28/09/23
Arathil,81,150634218,Warlock,Warlock-Affliction,353613,Void Surge,404154,32,2685,2685,5,False,28/09/23
Pazuzell,73,140773839,DemonHunter,DemonHunter-Vengeance,361119,Blasting Scream,404754,64,2685,2685,5,False,28/09/23
Lefox,87,175528845,Shaman,Shaman-Restoration,373112,Blasting Scream,404754,64,2685,2685,5,False,28/09/23
Màmbà,76,183169964,Paladin,Paladin-Holy,373834,,,,2685,2685,5,False,28/09/23
Catherinee,103,180636202,Monk,Monk-Windwalker,261610,,,,2685,2685,5,False,28/09/23
Killeen,69,181540927,Evoker,Evoker-Devastation,285090,Destabilize,413070,1,2685,2685,5,False,28/09/23
Shlauffu,88,182304349,Priest,Priest-Shadow,285809,Oblivion,401952,32,2685,2685,5,False,28/09/23
Cebulaczyna,156,121577266,Hunter,Hunter-Marksmanship,291067,Destabilize,413070,1,2685,2685,5,False,28/09/23
Gunqer,86,118902570,Druid,Druid-Restoration,306375,,,,2685,2685,5,False,28/09/23
Màmbà,76,183169964,Paladin,Paladin-Holy,312359,Embrace of Nothingness,405340,32,2685,2685,5,False,28/09/23
Grubi,75,180755381,Rogue,Rogue-Assassination,312381,Oblivion,401952,32,2685,2685,5,False,28/09/23
Qquo,70,165177271,Priest,Priest-Shadow,315803,Oblivion,401952,32,2685,2685,5,False,28/09/23
Kryxoria,79,182687721,Priest,Priest-Holy,316250,Embrace of Nothingness,405340,32,2685,2685,5,False,28/09/23
Owsianko,107,180528313,DeathKnight,DeathKnight-Unholy,317701,Void Slash,408425,1,2685,2685,5,False,28/09/23
Peanutmage,114,180616658,Mage,Mage-Fire,317701,Void Slash,408425,1,2685,2685,5,False,28/09/23
Prohus,78,181500240,Evoker,Evoker-Augmentation,317701,Void Slash,408425,1,2685,2685,5,False,28/09/23
Nugera,74,181593749,Evoker,Evoker-Augmentation,323924,,,,2685,2685,5,False,28/09/23
Bärman,77,181432362,Warrior,Warrior-Fury,327334,,,,2685,2685,5,False,28/09/23
Arathil,81,150634218,Warlock,Warlock-Affliction,333294,Void Bomb,404062,32,2685,2685,5,False,28/09/23
Lefox,87,175528845,Shaman,Shaman-Restoration,337309,Void Bomb,404062,32,2685,2685,5,False,28/09/23
Catherinee,103,180636202,Monk,Monk-Windwalker,338360,Void Surge,404154,32,2685,2685,5,False,28/09/23
Meeow,72,143983765,Druid,Druid-Feral,338734,Void Blast,408457,32,2685,2685,5,False,28/09/23
Pazuzell,73,140773839,DemonHunter,DemonHunter-Vengeance,339146,Melee,1,1,2685,2685,5,False,28/09/23
Klejnotnilu,5,182929355,DeathKnight,DeathKnight-Blood,345553,,,,2685,2685,5,False,28/09/23
Pepko,91,178016999,Paladin,Paladin-Retribution,346020,Melee,1,1,2685,2685,5,False,28/09/23
Cebulaczyna,156,121577266,Hunter,Hunter-Marksmanship,284524,Void Blast,408457,32,2685,2685,5,False,28/09/23
Meeow,72,143983765,Druid,Druid-Feral,284524,Void Blast,408457,32,2685,2685,5,False,28/09/23
Arathil,81,150634218,Warlock,Warlock-Affliction,284524,Void Blast,408457,32,2685,2685,5,False,28/09/23
Qquo,70,165177271,Priest,Priest-Shadow,284524,Void Blast,408457,32,2685,2685,5,False,28/09/23
Pepko,91,178016999,Paladin,Paladin-Retribution,284524,Void Blast,408457,32,2685,2685,5,False,28/09/23
Owsianko,107,180528313,DeathKnight,DeathKnight-Unholy,284524,Void Blast,408457,32,2685,2685,5,False,28/09/23
Bärman,77,181432362,Warrior,Warrior-Fury,284524,Void Blast,408457,32,2685,2685,5,False,28/09/23
Prohus,78,181500240,Evoker,Evoker-Augmentation,284524,Void Blast,408457,32,2685,2685,5,False,28/09/23
Killeen,69,181540927,Evoker,Evoker-Devastation,284524,Void Blast,408457,32,2685,2685,5,False,28/09/23
Shlauffu,88,182304349,Priest,Priest-Shadow,284524,Void Blast,408457,32,2685,2685,5,False,28/09/23
Màmbà,76,183169964,Paladin,Paladin-Holy,284524,Void Blast,408457,32,2685,2685,5,False,28/09/23
Catherinee,103,180636202,Monk,Monk-Windwalker,285656,Oblivion,401952,32,2685,2685,5,False,28/09/23
Peanutmage,114,180616658,Mage,Mage-Fire,288633,Oblivion,401952,32,2685,2685,5,False,28/09/23
Grubi,75,180755381,Rogue,Rogue-Subtlety,288905,Destabilize,413070,1,2685,2685,5,False,28/09/23
Kryxoria,79,182687721,Priest,Priest-Holy,290383,Void Blast,408457,32,2685,2685,5,False,28/09/23
Pazuzell,73,140773839,DemonHunter,DemonHunter-Vengeance,291071,Void Slash,408431,32,2685,2685,5,False,28/09/23
Klejnotnilu,5,182929355,DeathKnight,DeathKnight-Blood,295504,Scouring Eternity,403625,32,2685,2685,5,False,28/09/23
Nugera,74,181593749,Evoker,Evoker-Augmentation,297289,,,,2685,2685,5,False,28/09/23
Gunqer,86,118902570,Druid,Druid-Restoration,298828,Melee,1,1,2685,2685,5,False,28/09/23
Pepko,91,178016999,Paladin,Paladin-Retribution,312377,Cosmic Ascension,403771,32,2685,2685,5,False,28/09/23
Pazuzell,73,140773839,DemonHunter,DemonHunter-Vengeance,316755,Void Slash,408425,1,2685,2685,5,False,28/09/23
Prohus,78,181500240,Evoker,Evoker-Augmentation,344161,Destabilize,413070,1,2685,2685,5,False,28/09/23
Owsianko,107,180528313,DeathKnight,DeathKnight-Unholy,345173,Destabilize,413070,1,2685,2685,5,False,28/09/23
Pepko,91,178016999,Paladin,Paladin-Retribution,356026,,,,2685,2685,5,False,28/09/23
Meeow,72,143983765,Druid,Druid-Feral,377880,Embrace of Nothingness,405340,32,2685,2685,5,False,28/09/23
Shlauffu,88,182304349,Priest,Priest-Shadow,377880,Embrace of Nothingness,405340,32,2685,2685,5,False,28/09/23
