name,id,guid,type,icon,itemLevel,total,activeTime,activeTimeReduced,overheal,abilitiesName,abilitiesTotal,abilitiesType,pullId,pullCode,encounterId,encounterName,encounterDifficulty,wipeCutoff,encounterKill,encounterDate
Shlauffu,88,182304349,Priest,Priest-Shadow,446,194985,0,0,87333,Healthstone,194985,1,11,4cMq2CrTR7KFaPVD,2685,Scalecommander Sarkareth,5,0,False,28/09/23
Peanutmage,114,180616658,Mage,Mage-Fire,445,471953,0,0,,Refreshing Healing Potion,278668,16,11,4cMq2CrTR7KFaPVD,2685,Scalecommander Sarkareth,5,0,False,28/09/23
Peanutmage,114,180616658,Mage,Mage-Fire,445,471953,0,0,,Healthstone,193285,1,11,4cMq2CrTR7KFaPVD,2685,Scalecommander Sarkareth,5,0,False,28/09/23
Gunqer,86,118902570,Druid,Druid-Restoration,446,141752,0,0,172422,Healthstone,141752,1,11,4cMq2CrTR7KFaPVD,2685,Scalecommander Sarkareth,5,0,False,28/09/23
Nugera,74,181593749,Evoker,Evoker-Augmentation,445,206292,0,0,36993,Refreshing Healing Potion,206292,16,11,4cMq2CrTR7KFaPVD,2685,Scalecommander Sarkareth,5,0,False,28/09/23
Lefox,87,175528845,Shaman,Shaman-Restoration,444,380184,0,0,126037,Refreshing Healing Potion,211856,16,11,4cMq2CrTR7KFaPVD,2685,Scalecommander Sarkareth,5,0,False,28/09/23
Lefox,87,175528845,Shaman,Shaman-Restoration,444,380184,0,0,126037,Healthstone,168328,1,11,4cMq2CrTR7KFaPVD,2685,Scalecommander Sarkareth,5,0,False,28/09/23
Qquo,70,165177271,Priest,Priest-Shadow,445,371623,0,0,46351,Healthstone,198427,1,11,4cMq2CrTR7KFaPVD,2685,Scalecommander Sarkareth,5,0,False,28/09/23
Qquo,70,165177271,Priest,Priest-Shadow,445,371623,0,0,46351,Refreshing Healing Potion,173196,16,11,4cMq2CrTR7KFaPVD,2685,Scalecommander Sarkareth,5,0,False,28/09/23
Arathil,81,150634218,Warlock,Warlock-Affliction,446,187036,165,165,420875,Refreshing Healing Potion,179061,16,11,4cMq2CrTR7KFaPVD,2685,Scalecommander Sarkareth,5,0,False,28/09/23
Arathil,81,150634218,Warlock,Warlock-Affliction,446,187036,165,165,420875,Healthstone,7975,1,11,4cMq2CrTR7KFaPVD,2685,Scalecommander Sarkareth,5,0,False,28/09/23
Catherinee,103,180636202,Monk,Monk-Windwalker,444,243094,0,0,6959,Refreshing Healing Potion,243094,16,11,4cMq2CrTR7KFaPVD,2685,Scalecommander Sarkareth,5,0,False,28/09/23
Klejnotnilu,5,182929355,DeathKnight,DeathKnight-Blood,445,426200,0,0,,Healthstone,426200,1,11,4cMq2CrTR7KFaPVD,2685,Scalecommander Sarkareth,5,0,False,28/09/23
Killeen,69,181540927,Evoker,Evoker-Devastation,445,195170,0,0,,Healthstone,195170,1,12,4cMq2CrTR7KFaPVD,2685,Scalecommander Sarkareth,5,0,False,28/09/23
Màmbà,76,183169964,Paladin,Paladin-Holy,446,48105,0,0,145510,Refreshing Healing Potion,48105,16,12,4cMq2CrTR7KFaPVD,2685,Scalecommander Sarkareth,5,0,False,28/09/23
Owsianko,107,180528313,DeathKnight,DeathKnight-Unholy,445,361264,0,0,25041,Refreshing Healing Potion,185641,16,12,4cMq2CrTR7KFaPVD,2685,Scalecommander Sarkareth,5,0,False,28/09/23
Owsianko,107,180528313,DeathKnight,DeathKnight-Unholy,445,361264,0,0,25041,Healthstone,175623,1,12,4cMq2CrTR7KFaPVD,2685,Scalecommander Sarkareth,5,0,False,28/09/23
Grubi,75,180755381,Rogue,Rogue-Subtlety,445,212578,0,0,,Refreshing Healing Potion,212578,16,12,4cMq2CrTR7KFaPVD,2685,Scalecommander Sarkareth,5,0,False,28/09/23
Bärman,77,181432362,Warrior,Warrior-Fury,444,185771,0,0,,Healthstone,185771,1,12,4cMq2CrTR7KFaPVD,2685,Scalecommander Sarkareth,5,0,False,28/09/23
Cebulaczyna,156,121577266,Hunter,Hunter-Marksmanship,445,105464,0,0,153006,Refreshing Healing Potion,105464,16,12,4cMq2CrTR7KFaPVD,2685,Scalecommander Sarkareth,5,0,False,28/09/23
Peanutmage,114,180616658,Mage,Mage-Fire,445,235141,0,0,,Refreshing Healing Potion,235141,16,12,4cMq2CrTR7KFaPVD,2685,Scalecommander Sarkareth,5,0,False,28/09/23
Nugera,74,181593749,Evoker,Evoker-Augmentation,445,215548,0,0,7828,Refreshing Healing Potion,215548,16,12,4cMq2CrTR7KFaPVD,2685,Scalecommander Sarkareth,5,0,False,28/09/23
Shlauffu,88,182304349,Priest,Priest-Shadow,446,179378,0,0,50689,Refreshing Healing Potion,179378,16,12,4cMq2CrTR7KFaPVD,2685,Scalecommander Sarkareth,5,0,False,28/09/23
Meeow,72,143983765,Druid,Druid-Feral,447,214029,0,0,14210,Refreshing Healing Potion,214029,16,12,4cMq2CrTR7KFaPVD,2685,Scalecommander Sarkareth,5,0,False,28/09/23
Qquo,70,165177271,Priest,Priest-Shadow,445,173196,0,0,,Refreshing Healing Potion,173196,16,12,4cMq2CrTR7KFaPVD,2685,Scalecommander Sarkareth,5,0,False,28/09/23
Arathil,81,150634218,Warlock,Warlock-Affliction,446,184256,0,0,,Refreshing Healing Potion,184256,16,12,4cMq2CrTR7KFaPVD,2685,Scalecommander Sarkareth,5,0,False,28/09/23
Killeen,69,181540927,Evoker,Evoker-Devastation,445,392120,0,0,,Healthstone,212273,1,13,4cMq2CrTR7KFaPVD,2685,Scalecommander Sarkareth,5,0,False,28/09/23
Killeen,69,181540927,Evoker,Evoker-Devastation,445,392120,0,0,,Refreshing Healing Potion,179847,16,13,4cMq2CrTR7KFaPVD,2685,Scalecommander Sarkareth,5,0,False,28/09/23
Lefox,87,175528845,Shaman,Shaman-Restoration,444,672579,0,0,54302,Healthstone,455180,1,13,4cMq2CrTR7KFaPVD,2685,Scalecommander Sarkareth,5,0,False,28/09/23
Lefox,87,175528845,Shaman,Shaman-Restoration,444,672579,0,0,54302,Refreshing Healing Potion,217399,16,13,4cMq2CrTR7KFaPVD,2685,Scalecommander Sarkareth,5,0,False,28/09/23
Owsianko,107,180528313,DeathKnight,DeathKnight-Unholy,445,185640,0,0,,Refreshing Healing Potion,185640,16,13,4cMq2CrTR7KFaPVD,2685,Scalecommander Sarkareth,5,0,False,28/09/23
Grubi,75,180755381,Rogue,Rogue-Subtlety,445,574299,0,0,96774,Refreshing Healing Potion,415357,16,13,4cMq2CrTR7KFaPVD,2685,Scalecommander Sarkareth,5,0,False,28/09/23
Grubi,75,180755381,Rogue,Rogue-Subtlety,445,574299,0,0,96774,Healthstone,158942,1,13,4cMq2CrTR7KFaPVD,2685,Scalecommander Sarkareth,5,0,False,28/09/23
Bärman,77,181432362,Warrior,Warrior-Fury,444,448243,0,0,10124,Healthstone,250326,1,13,4cMq2CrTR7KFaPVD,2685,Scalecommander Sarkareth,5,0,False,28/09/23
Bärman,77,181432362,Warrior,Warrior-Fury,444,448243,0,0,10124,Refreshing Healing Potion,197917,16,13,4cMq2CrTR7KFaPVD,2685,Scalecommander Sarkareth,5,0,False,28/09/23
Peanutmage,114,180616658,Mage,Mage-Fire,445,490633,0,0,71492,Refreshing Healing Potion,278668,16,13,4cMq2CrTR7KFaPVD,2685,Scalecommander Sarkareth,5,0,False,28/09/23
Peanutmage,114,180616658,Mage,Mage-Fire,445,490633,0,0,71492,Healthstone,211965,1,13,4cMq2CrTR7KFaPVD,2685,Scalecommander Sarkareth,5,0,False,28/09/23
Pazuzell,73,140773839,DemonHunter,DemonHunter-Vengeance,445,247611,0,0,,Healthstone,247611,1,13,4cMq2CrTR7KFaPVD,2685,Scalecommander Sarkareth,5,0,False,28/09/23
Shlauffu,88,182304349,Priest,Priest-Shadow,446,300140,0,0,361171,Healthstone,212742,1,13,4cMq2CrTR7KFaPVD,2685,Scalecommander Sarkareth,5,0,False,28/09/23
Shlauffu,88,182304349,Priest,Priest-Shadow,446,300140,0,0,361171,Refreshing Healing Potion,87398,16,13,4cMq2CrTR7KFaPVD,2685,Scalecommander Sarkareth,5,0,False,28/09/23
Meeow,72,143983765,Druid,Druid-Feral,447,397652,0,0,110660,Healthstone,261274,1,13,4cMq2CrTR7KFaPVD,2685,Scalecommander Sarkareth,5,0,False,28/09/23
Meeow,72,143983765,Druid,Druid-Feral,447,397652,0,0,110660,Refreshing Healing Potion,136378,16,13,4cMq2CrTR7KFaPVD,2685,Scalecommander Sarkareth,5,0,False,28/09/23
Qquo,70,165177271,Priest,Priest-Shadow,445,309471,0,0,,Refreshing Healing Potion,173196,16,13,4cMq2CrTR7KFaPVD,2685,Scalecommander Sarkareth,5,0,False,28/09/23
Qquo,70,165177271,Priest,Priest-Shadow,445,309471,0,0,,Healthstone,136275,1,13,4cMq2CrTR7KFaPVD,2685,Scalecommander Sarkareth,5,0,False,28/09/23
Klejnotnilu,5,182929355,DeathKnight,DeathKnight-Blood,445,239805,0,0,,Healthstone,239805,1,13,4cMq2CrTR7KFaPVD,2685,Scalecommander Sarkareth,5,0,False,28/09/23
Gunqer,86,118902570,Druid,Druid-Restoration,446,271558,0,0,87155,Healthstone,271558,1,13,4cMq2CrTR7KFaPVD,2685,Scalecommander Sarkareth,5,0,False,28/09/23
Màmbà,76,183169964,Paladin,Paladin-Holy,446,431438,0,0,,Healthstone,233951,1,13,4cMq2CrTR7KFaPVD,2685,Scalecommander Sarkareth,5,0,False,28/09/23
Màmbà,76,183169964,Paladin,Paladin-Holy,446,431438,0,0,,Refreshing Healing Potion,197487,16,13,4cMq2CrTR7KFaPVD,2685,Scalecommander Sarkareth,5,0,False,28/09/23
Catherinee,103,180636202,Monk,Monk-Windwalker,444,249163,0,0,,Healthstone,249163,1,13,4cMq2CrTR7KFaPVD,2685,Scalecommander Sarkareth,5,0,False,28/09/23
Prohus,78,181500240,Evoker,Evoker-Augmentation,445,433387,536,536,22708,Healthstone,222567,1,13,4cMq2CrTR7KFaPVD,2685,Scalecommander Sarkareth,5,0,False,28/09/23
Prohus,78,181500240,Evoker,Evoker-Augmentation,445,433387,536,536,22708,Refreshing Healing Potion,210820,16,13,4cMq2CrTR7KFaPVD,2685,Scalecommander Sarkareth,5,0,False,28/09/23
Cebulaczyna,156,121577266,Hunter,Hunter-Marksmanship,445,407936,0,0,117779,Healthstone,278636,1,13,4cMq2CrTR7KFaPVD,2685,Scalecommander Sarkareth,5,0,False,28/09/23
Cebulaczyna,156,121577266,Hunter,Hunter-Marksmanship,445,407936,0,0,117779,Refreshing Healing Potion,129300,16,13,4cMq2CrTR7KFaPVD,2685,Scalecommander Sarkareth,5,0,False,28/09/23
Kryxoria,79,182687721,Priest,Priest-Holy,445,238887,0,0,,Healthstone,238887,1,13,4cMq2CrTR7KFaPVD,2685,Scalecommander Sarkareth,5,0,False,28/09/23
Pepko,91,178016999,Paladin,Paladin-Retribution,444,459196,0,0,31978,Healthstone,262552,1,13,4cMq2CrTR7KFaPVD,2685,Scalecommander Sarkareth,5,0,False,28/09/23
Pepko,91,178016999,Paladin,Paladin-Retribution,444,459196,0,0,31978,Refreshing Healing Potion,196644,16,13,4cMq2CrTR7KFaPVD,2685,Scalecommander Sarkareth,5,0,False,28/09/23
Arathil,81,150634218,Warlock,Warlock-Affliction,446,212718,9011,9011,535045,Refreshing Healing Potion,161573,16,13,4cMq2CrTR7KFaPVD,2685,Scalecommander Sarkareth,5,0,False,28/09/23
Arathil,81,150634218,Warlock,Warlock-Affliction,446,212718,9011,9011,535045,Healthstone,51145,1,13,4cMq2CrTR7KFaPVD,2685,Scalecommander Sarkareth,5,0,False,28/09/23
Killeen,69,181540927,Evoker,Evoker-Devastation,445,363723,0,0,,Refreshing Healing Potion,185142,16,14,4cMq2CrTR7KFaPVD,2685,Scalecommander Sarkareth,5,0,False,28/09/23
Killeen,69,181540927,Evoker,Evoker-Devastation,445,363723,0,0,,Healthstone,178581,1,14,4cMq2CrTR7KFaPVD,2685,Scalecommander Sarkareth,5,0,False,28/09/23
Lefox,87,175528845,Shaman,Shaman-Restoration,444,156948,0,0,131951,Healthstone,156948,1,14,4cMq2CrTR7KFaPVD,2685,Scalecommander Sarkareth,5,0,False,28/09/23
Owsianko,107,180528313,DeathKnight,DeathKnight-Unholy,445,420829,8110,8110,,Refreshing Healing Potion,215344,16,14,4cMq2CrTR7KFaPVD,2685,Scalecommander Sarkareth,5,0,False,28/09/23
Owsianko,107,180528313,DeathKnight,DeathKnight-Unholy,445,420829,8110,8110,,Healthstone,205485,1,14,4cMq2CrTR7KFaPVD,2685,Scalecommander Sarkareth,5,0,False,28/09/23
Grubi,75,180755381,Rogue,Rogue-Subtlety,445,495304,0,0,,Healthstone,248968,1,14,4cMq2CrTR7KFaPVD,2685,Scalecommander Sarkareth,5,0,False,28/09/23
Grubi,75,180755381,Rogue,Rogue-Subtlety,445,495304,0,0,,Refreshing Healing Potion,246336,16,14,4cMq2CrTR7KFaPVD,2685,Scalecommander Sarkareth,5,0,False,28/09/23
Bärman,77,181432362,Warrior,Warrior-Fury,444,439170,3525,3525,10009,Healthstone,235207,1,14,4cMq2CrTR7KFaPVD,2685,Scalecommander Sarkareth,5,0,False,28/09/23
Bärman,77,181432362,Warrior,Warrior-Fury,444,439170,3525,3525,10009,Refreshing Healing Potion,203963,16,14,4cMq2CrTR7KFaPVD,2685,Scalecommander Sarkareth,5,0,False,28/09/23
Peanutmage,114,180616658,Mage,Mage-Fire,445,454995,0,0,20609,Refreshing Healing Potion,242413,16,14,4cMq2CrTR7KFaPVD,2685,Scalecommander Sarkareth,5,0,False,28/09/23
Peanutmage,114,180616658,Mage,Mage-Fire,445,454995,0,0,20609,Healthstone,212582,1,14,4cMq2CrTR7KFaPVD,2685,Scalecommander Sarkareth,5,0,False,28/09/23
Pazuzell,73,140773839,DemonHunter,DemonHunter-Vengeance,445,247561,0,0,,Healthstone,247561,1,14,4cMq2CrTR7KFaPVD,2685,Scalecommander Sarkareth,5,0,False,28/09/23
Shlauffu,88,182304349,Priest,Priest-Shadow,446,508803,0,0,1796,Healthstone,280146,1,14,4cMq2CrTR7KFaPVD,2685,Scalecommander Sarkareth,5,0,False,28/09/23
Shlauffu,88,182304349,Priest,Priest-Shadow,446,508803,0,0,1796,Refreshing Healing Potion,228657,16,14,4cMq2CrTR7KFaPVD,2685,Scalecommander Sarkareth,5,0,False,28/09/23
Meeow,72,143983765,Druid,Druid-Feral,447,251000,0,0,226353,Healthstone,125572,1,14,4cMq2CrTR7KFaPVD,2685,Scalecommander Sarkareth,5,0,False,28/09/23
Meeow,72,143983765,Druid,Druid-Feral,447,251000,0,0,226353,Refreshing Healing Potion,125428,16,14,4cMq2CrTR7KFaPVD,2685,Scalecommander Sarkareth,5,0,False,28/09/23
Qquo,70,165177271,Priest,Priest-Shadow,445,682516,0,0,,Refreshing Healing Potion,355053,16,14,4cMq2CrTR7KFaPVD,2685,Scalecommander Sarkareth,5,0,False,28/09/23
Qquo,70,165177271,Priest,Priest-Shadow,445,682516,0,0,,Healthstone,327463,1,14,4cMq2CrTR7KFaPVD,2685,Scalecommander Sarkareth,5,0,False,28/09/23
Klejnotnilu,5,182929355,DeathKnight,DeathKnight-Blood,445,402882,0,0,,Healthstone,248853,1,14,4cMq2CrTR7KFaPVD,2685,Scalecommander Sarkareth,5,0,False,28/09/23
Klejnotnilu,5,182929355,DeathKnight,DeathKnight-Blood,445,402882,0,0,,Refreshing Healing Potion,154029,16,14,4cMq2CrTR7KFaPVD,2685,Scalecommander Sarkareth,5,0,False,28/09/23
Gunqer,86,118902570,Druid,Druid-Restoration,446,235012,0,0,26539,Refreshing Healing Potion,235012,16,14,4cMq2CrTR7KFaPVD,2685,Scalecommander Sarkareth,5,0,False,28/09/23
Màmbà,76,183169964,Paladin,Paladin-Holy,446,462883,0,0,,Healthstone,262442,1,14,4cMq2CrTR7KFaPVD,2685,Scalecommander Sarkareth,5,0,False,28/09/23
Màmbà,76,183169964,Paladin,Paladin-Holy,446,462883,0,0,,Refreshing Healing Potion,200441,16,14,4cMq2CrTR7KFaPVD,2685,Scalecommander Sarkareth,5,0,False,28/09/23
Catherinee,103,180636202,Monk,Monk-Windwalker,444,530539,0,0,,Refreshing Healing Potion,287076,16,14,4cMq2CrTR7KFaPVD,2685,Scalecommander Sarkareth,5,0,False,28/09/23
Catherinee,103,180636202,Monk,Monk-Windwalker,444,530539,0,0,,Healthstone,243463,1,14,4cMq2CrTR7KFaPVD,2685,Scalecommander Sarkareth,5,0,False,28/09/23
Prohus,78,181500240,Evoker,Evoker-Augmentation,445,503741,0,0,,Healthstone,275389,1,14,4cMq2CrTR7KFaPVD,2685,Scalecommander Sarkareth,5,0,False,28/09/23
Prohus,78,181500240,Evoker,Evoker-Augmentation,445,503741,0,0,,Refreshing Healing Potion,228352,16,14,4cMq2CrTR7KFaPVD,2685,Scalecommander Sarkareth,5,0,False,28/09/23
Cebulaczyna,156,121577266,Hunter,Hunter-Marksmanship,445,323406,0,0,12181,Healthstone,323406,1,14,4cMq2CrTR7KFaPVD,2685,Scalecommander Sarkareth,5,0,False,28/09/23
Nugera,74,181593749,Evoker,Evoker-Augmentation,445,167348,0,0,67455,Refreshing Healing Potion,167348,16,14,4cMq2CrTR7KFaPVD,2685,Scalecommander Sarkareth,5,0,False,28/09/23
Pepko,91,178016999,Paladin,Paladin-Retribution,444,248080,0,0,,Refreshing Healing Potion,248080,16,14,4cMq2CrTR7KFaPVD,2685,Scalecommander Sarkareth,5,0,False,28/09/23
Arathil,81,150634218,Warlock,Warlock-Affliction,446,94486,0,0,479886,Healthstone,54308,1,14,4cMq2CrTR7KFaPVD,2685,Scalecommander Sarkareth,5,0,False,28/09/23
Arathil,81,150634218,Warlock,Warlock-Affliction,446,94486,0,0,479886,Refreshing Healing Potion,40178,16,14,4cMq2CrTR7KFaPVD,2685,Scalecommander Sarkareth,5,0,False,28/09/23
Killeen,69,181540927,Evoker,Evoker-Devastation,445,202140,0,0,,Healthstone,202140,1,15,4cMq2CrTR7KFaPVD,2685,Scalecommander Sarkareth,5,0,False,28/09/23
Lefox,87,175528845,Shaman,Shaman-Restoration,444,119692,0,0,175934,Healthstone,119692,1,15,4cMq2CrTR7KFaPVD,2685,Scalecommander Sarkareth,5,0,False,28/09/23
Owsianko,107,180528313,DeathKnight,DeathKnight-Unholy,445,223763,0,0,,Refreshing Healing Potion,223763,16,15,4cMq2CrTR7KFaPVD,2685,Scalecommander Sarkareth,5,0,False,28/09/23
Grubi,75,180755381,Rogue,Rogue-Subtlety,445,426434,0,0,34348,Refreshing Healing Potion,254830,16,15,4cMq2CrTR7KFaPVD,2685,Scalecommander Sarkareth,5,0,False,28/09/23
Grubi,75,180755381,Rogue,Rogue-Subtlety,445,426434,0,0,34348,Healthstone,171604,1,15,4cMq2CrTR7KFaPVD,2685,Scalecommander Sarkareth,5,0,False,28/09/23
Bärman,77,181432362,Warrior,Warrior-Fury,444,433764,2107,2107,28890,Healthstone,223684,1,15,4cMq2CrTR7KFaPVD,2685,Scalecommander Sarkareth,5,0,False,28/09/23
Bärman,77,181432362,Warrior,Warrior-Fury,444,433764,2107,2107,28890,Refreshing Healing Potion,210080,16,15,4cMq2CrTR7KFaPVD,2685,Scalecommander Sarkareth,5,0,False,28/09/23
Peanutmage,114,180616658,Mage,Mage-Fire,445,367500,0,0,99915,Healthstone,196864,1,15,4cMq2CrTR7KFaPVD,2685,Scalecommander Sarkareth,5,0,False,28/09/23
Peanutmage,114,180616658,Mage,Mage-Fire,445,367500,0,0,99915,Refreshing Healing Potion,170636,16,15,4cMq2CrTR7KFaPVD,2685,Scalecommander Sarkareth,5,0,False,28/09/23
Shlauffu,88,182304349,Priest,Priest-Shadow,446,475077,0,0,47844,Healthstone,292854,1,15,4cMq2CrTR7KFaPVD,2685,Scalecommander Sarkareth,5,0,False,28/09/23
Shlauffu,88,182304349,Priest,Priest-Shadow,446,475077,0,0,47844,Refreshing Healing Potion,182223,16,15,4cMq2CrTR7KFaPVD,2685,Scalecommander Sarkareth,5,0,False,28/09/23
Meeow,72,143983765,Druid,Druid-Feral,447,410372,0,0,67664,Healthstone,238150,1,15,4cMq2CrTR7KFaPVD,2685,Scalecommander Sarkareth,5,0,False,28/09/23
Meeow,72,143983765,Druid,Druid-Feral,447,410372,0,0,67664,Refreshing Healing Potion,172222,16,15,4cMq2CrTR7KFaPVD,2685,Scalecommander Sarkareth,5,0,False,28/09/23
Qquo,70,165177271,Priest,Priest-Shadow,445,173195,0,0,,Refreshing Healing Potion,173195,16,15,4cMq2CrTR7KFaPVD,2685,Scalecommander Sarkareth,5,0,False,28/09/23
Klejnotnilu,5,182929355,DeathKnight,DeathKnight-Blood,445,394703,184,184,,Healthstone,240334,1,15,4cMq2CrTR7KFaPVD,2685,Scalecommander Sarkareth,5,0,False,28/09/23
Klejnotnilu,5,182929355,DeathKnight,DeathKnight-Blood,445,394703,184,184,,Refreshing Healing Potion,154369,16,15,4cMq2CrTR7KFaPVD,2685,Scalecommander Sarkareth,5,0,False,28/09/23
Gunqer,86,118902570,Druid,Druid-Restoration,446,351731,3298,3298,209304,Healthstone,289192,1,15,4cMq2CrTR7KFaPVD,2685,Scalecommander Sarkareth,5,0,False,28/09/23
Gunqer,86,118902570,Druid,Druid-Restoration,446,351731,3298,3298,209304,Refreshing Healing Potion,62539,16,15,4cMq2CrTR7KFaPVD,2685,Scalecommander Sarkareth,5,0,False,28/09/23
Màmbà,76,183169964,Paladin,Paladin-Holy,446,424686,0,0,,Healthstone,225263,1,15,4cMq2CrTR7KFaPVD,2685,Scalecommander Sarkareth,5,0,False,28/09/23
Màmbà,76,183169964,Paladin,Paladin-Holy,446,424686,0,0,,Refreshing Healing Potion,199423,16,15,4cMq2CrTR7KFaPVD,2685,Scalecommander Sarkareth,5,0,False,28/09/23
Prohus,78,181500240,Evoker,Evoker-Augmentation,445,400653,0,0,92023,Healthstone,205175,1,15,4cMq2CrTR7KFaPVD,2685,Scalecommander Sarkareth,5,0,False,28/09/23
Prohus,78,181500240,Evoker,Evoker-Augmentation,445,400653,0,0,92023,Refreshing Healing Potion,195478,16,15,4cMq2CrTR7KFaPVD,2685,Scalecommander Sarkareth,5,0,False,28/09/23
Cebulaczyna,156,121577266,Hunter,Hunter-Marksmanship,445,234862,0,0,,Refreshing Healing Potion,234862,16,15,4cMq2CrTR7KFaPVD,2685,Scalecommander Sarkareth,5,0,False,28/09/23
Nugera,74,181593749,Evoker,Evoker-Augmentation,445,26761,0,0,201565,Refreshing Healing Potion,26761,16,15,4cMq2CrTR7KFaPVD,2685,Scalecommander Sarkareth,5,0,False,28/09/23
Pepko,91,178016999,Paladin,Paladin-Retribution,444,247302,0,0,,Healthstone,247302,1,15,4cMq2CrTR7KFaPVD,2685,Scalecommander Sarkareth,5,0,False,28/09/23
Arathil,81,150634218,Warlock,Warlock-Affliction,446,200436,1307,1307,525029,Refreshing Healing Potion,179137,16,15,4cMq2CrTR7KFaPVD,2685,Scalecommander Sarkareth,5,0,False,28/09/23
Arathil,81,150634218,Warlock,Warlock-Affliction,446,200436,1307,1307,525029,Healthstone,21299,1,15,4cMq2CrTR7KFaPVD,2685,Scalecommander Sarkareth,5,0,False,28/09/23
Killeen,69,181540927,Evoker,Evoker-Devastation,445,401490,6762,6762,,Refreshing Healing Potion,208708,16,16,4cMq2CrTR7KFaPVD,2685,Scalecommander Sarkareth,5,0,False,28/09/23
Killeen,69,181540927,Evoker,Evoker-Devastation,445,401490,6762,6762,,Healthstone,192782,1,16,4cMq2CrTR7KFaPVD,2685,Scalecommander Sarkareth,5,0,False,28/09/23
Lefox,87,175528845,Shaman,Shaman-Restoration,444,232572,0,0,59227,Healthstone,232572,1,16,4cMq2CrTR7KFaPVD,2685,Scalecommander Sarkareth,5,0,False,28/09/23
Owsianko,107,180528313,DeathKnight,DeathKnight-Unholy,445,387791,0,0,,Healthstone,200664,1,16,4cMq2CrTR7KFaPVD,2685,Scalecommander Sarkareth,5,0,False,28/09/23
Owsianko,107,180528313,DeathKnight,DeathKnight-Unholy,445,387791,0,0,,Refreshing Healing Potion,187127,16,16,4cMq2CrTR7KFaPVD,2685,Scalecommander Sarkareth,5,0,False,28/09/23
Bärman,77,181432362,Warrior,Warrior-Fury,444,209036,3697,3697,240142,Refreshing Healing Potion,203962,16,16,4cMq2CrTR7KFaPVD,2685,Scalecommander Sarkareth,5,0,False,28/09/23
Bärman,77,181432362,Warrior,Warrior-Fury,444,209036,3697,3697,240142,Healthstone,5074,1,16,4cMq2CrTR7KFaPVD,2685,Scalecommander Sarkareth,5,0,False,28/09/23
Peanutmage,114,180616658,Mage,Mage-Fire,445,212613,0,0,,Healthstone,212613,1,16,4cMq2CrTR7KFaPVD,2685,Scalecommander Sarkareth,5,0,False,28/09/23
